Название,Компания,Уровень,Зарплата_от,Зарплата_до,Валюта,Опыт,Ссылка,Навыки
Аналитик данных,Граб Александр Анатольевич,Other,,300000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117914385,"SQL, QlikView, Визуализация данных, Интерпретация данных, Извлечение данных, Формирование аналитической отчетности, Бизнес-анализ, Анализ требований"
Главный аналитик (аналитик данных),"Кубань Кредит, КБ",Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117900229,"SQL, MS Excel, Аналитическое мышление, Исследовательский анализ данных, Основы баз данных"
Аналитик данных,Орентрак-Логистик,Junior,60000.0,90000.0,RUR,Нет опыта,https://hh.ru/vacancy/116812392,"Работа с большим объемом информации, Поиск информации в интернет, Ценообразование, Статистический анализ, Аналитическое мышление, Анализ рынка, Умение работать в коллективе, Анализ данных, Сбор и анализ информации, Контроль и анализ ценообразования, Логическое мышление, Google таблицы, Работа в условиях многозадачности, Таблицы"
Аналитик данных (маркетинг),Lamoda,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117844867,"SQL, Маркетинговый анализ, Аналитическое мышление, Работа с большим объемом информации, Power BI"
Начинающий аналитик данных,МУЖИКИ ПРО,Junior,,50000.0,RUR,Нет опыта,https://hh.ru/vacancy/117434772,"Google Docs, MS Excel, Power BI, Работа с системами аналитики, Визуализация данных, Формирование аналитической отчетности"
Junior Data Analyst,Skyeng,Junior,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117414172,
Аналитик данных,ФГБНУ ВНИИплем,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117961706,
Аналитик данных,Finbridge,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117696352,"SQL, Аналитическое мышление, Математическое моделирование"
Аналитик данных (Rambler&Co),Rambler&Co,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117411442,
Аналитик данных,ТВ Центр,Middle,80000.0,80000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117800548,"SQL, MS SQL, Основы баз данных, Python"
Аналитик данных,X5 Transport,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117253388,"SQL, Python, Git"
Аналитик данных,Пазюк Ольга Валерьевна,Middle,80000.0,200000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117854215,"SQL, Apache Airflow, Jupyter Notebook, JSON, UML, A/A тесты, XGBoost, Bash, Agile, Docker, Сбор требований, REST API, Теория вероятностей, Amplitude, pandas, TensorFlow, Redash, Big Data, CatBoost, Plotly, Matplotlib, PySpark, PyTorch, MongoDB, Numpy, SciPy, BigQuery, Stata, Keras, Seaborn"
Аналитик данных / Data analyst (Нижний Новгород),Алгоритмик Дата,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117125045,"SQL, Python"
Аналитик данных,Оператор Газпром ИД,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117780208,SQL
Аналитик данных (БКИ),Центральный банк Российской Федерации (Банк России),Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/107408768,"MS SQL, Python, Анализ требований, Интерпретация данных, Извлечение данных, Исследовательский анализ данных, Основы баз данных, Преобразование данных, SQL, Экономический анализ, XML, HTML"
Middle Data Analyst,Your Personal Agent,Middle,,250000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117911839,"SQL, Python, Apache Airflow, Data Lens, Clickhouse, pandas, PostgreSQL, Power BI, Tableau, Redash, Metabase"
Junior Analyst / Младший аналитик данных,Go Ahead,Junior,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117478836,"MS Excel, SQL"
Data Analyst (Аналитик данных),Смарт Горизонт,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/114286595,
Аналитик данных (удаленно),TISS,Middle,60000.0,80000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117451582,Удаленная работа
"Стажёр-аналитик данных (Маркетплейс, Отдел продуктовой аналитики)",Ozon,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117822969,"Торговая площадка, SQL, Python, Анализ данных"
Дата-аналитик/Аналитик данных,Смарт Решения,Middle,120000.0,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117761703,"MS PowerPoint, MS Excel, 1C, Bitrix24, Анализ отчетов"
Аналитик данных,GO-TO-SPORT.RU,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/115213085,
Аналитик данных,FESCO (ПАО Дальневосточное морское пароходство),Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117233801,
Data analyst / Аналитик данных,Колл Солюшенс,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117789041,"SQL, Python, Airflow, Анализ данных, Базы данных, BigQuery, Прогнозирование"
Data Analyst (Аналитика Данных),Click,Other,,350000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/115649758,"SQL, Python, A/B тесты, Tableau, СУБД"
Стажер-аналитик данных в финансах,Совкомбанк Страхование,Junior,,40000.0,RUR,Нет опыта,https://hh.ru/vacancy/117027726,
Аналитик данных (онлайн-школа),Ameli Soul,Middle,100000.0,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/116836444,"Ответственность, Внимательность, Коммуникативные навыки"
Аналитик данных (клиентская аналитика),Ингосстрах,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117842233,"SQL, Математическая статистика, Исследовательский анализ данных, Интерпретация данных"
Аналитик данных,Маяк,Middle,80000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116095112,
Аналитик данных в тендерный отдел,"Фаворит, Международный кадровый центр",Middle,150000.0,170000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117799246,
Аналитик данных / Продуктовый аналитик (кредитные продукты),Газпромбанк,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117953736,"SQL, data analyst, product analyst"
Аналитик данных,АТОН,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116846304,"Аналитическое мышление, Бизнес-анализ, Базы данных, Анализ бизнес показателей, Анализ данных, Аналитика, MS Excel, Грамотная речь, Высокий уровень самоорганизации, MS SQL, Навыки презентации"
Младший аналитик данных (junior),Передовые Платежные Решения,Junior,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117418187,"SQL, MS Excel, ORACLE, Apache Airflow, DataLens, OpenMetadata"
Data analyst,МКК 495 Кредит,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117909571,
Аналитик данных,Сбер Бизнес Софт,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117963641,"Hadoop, Apache Spark, ETL, SQL"
"Стажер Data Analyst (блок ""В2С"")",СБЕР,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/118008225,
Аналитик данных/Аналитик отдела отчетности,Неофлекс,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117582012,"SQL, Аналитическое мышление, Интерпретация данных, Извлечение данных, ORACLE, MS SQL, Hadoop, Greenplum, Big Data, PySpark"
Data Analyst,Ventra,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117956701,"SQL, Python, Power BI"
Data Analyst,Marfatech,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117748755,"SQL, A/B тесты"
Аналитик данных,Глебовская Екатерина Александровна,Middle,150000.0,190000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116528190,
Аналитик данных (MS Excel),МФК ВЭББАНКИР,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116938891,"1С-Рарус, MS Excel, MS SQL"
